review,rating,date
"Size 36 Ga bikin sumuk, nyaman ga bikin pegel n jari sakit, sesuai harga 👍",bintang 5,2 bulan lalu
"Ada harga ada kualitas dan bahannya ringan (sepertinya di dlm pake bahan plastik).
Secara design bagus. Tapi untuk bahan ini tipis dan ringkih bgt, terutama pas udah coba...",bintang 4,8 bulan lalu
"paket sudah d terima,.. pesanan sesuai,.. dan  pengiriman.. baik dan cepat!.. model dan ukuran sesuai pesanan!.. bagus dan kondisi tidak cacat!.. pas d pakai dan  nyaman....",bintang 5,3 minggu lalu
"bahannya bagus sama ukurannya juga jujur agak kebesaran ke aku, tapi masih bisa di pake sih terus, warnanya bagus dan bersih banget keliatan. modelnya juga lucu banget....",bintang 5,6 bulan lalu
Agak tipis bahan sepatu nya.. yg minat beli harap naikin setingkat no sepatunya yaa. Yah lumayan lah buat pakai sekali²..,bintang 4,6 bulan lalu
"pengiriman cepat, co kemarin pagi hari besoknya udh sampe. sesuai foto yg dietalase, ukaran juga sesuai. bahan bagus lembut meskipun ada noda kuning” ga tau apa, tapi gpp...",bintang 5,2 bulan lalu
"Warna: cream
Bentuk dan ukuran: 37
pengiriman cepat, penjual ramah, 
sepatunya bagus bahannya lembut halus,
di pakai pas banget ukurannya,
buat yang mau beli gak usah rag...",bintang 5,6 bulan lalu
"Jahitan nya ad yg lepas, tipis 
Sesuai sm harga si",bintang 4,1 minggu lalu
Bagus bgt bgt bgt bgt percis kyk merek korea sap**n tapi agak worry dengan heels nya. Jangan bgt pake pas hujan takut lepas heels nya. Huhuhu tolong donk lem ny di kuatin...,bintang 4,3 minggu lalu
"Alhamdulillah aku udh co yg ketika kalinya, sepatunya bgus bgt, bhan nya lembut bgt, kokoh dan kuat bgt, buat pke seharian nyaman bgt, ditmbh pke kaus kaki yg tipis biar...",bintang 5,6 bulan lalu
"Packing sih, ga bgt ya, dus hancur lebur diterima, untung kondisi sepatu aman, mgkn bs lbh perhatian u/packingnya, terima kasih, sdh pernah beli model yg sama, cm bagian...",bintang 4,2 bulan lalu
"spatunya pas dikaki tp kekecilan di betis jd ga bisa dinaikkin resleting nya
harusnya co uk 37 ya brrti 😭
fyi bagus nyaman spatunya",bintang 5,6 bulan lalu
Kenapa gak bisa rabi ya hilsnya ke sepatunya padahal bagi saya cukup mahal dengan kualitas seprti itu udah kotor lagi dibersihin malah nigal bekas kuning warnaya juga cre...,bintang 3,7 bulan lalu
