review,rating,date
"bagusss ,bahannya juga ga tipis banget & nyaman",bintang 5,2 hari lalu
"wadepak men bagus uhuy, bb 56± tb 155 masih muat bgt ya shay dia tuh aga nerawang tapi ga nerawang kek sedikiiitttt doang gituh,,, operal bagus lah ya men",bintang 5,2 minggu lalu
Bagus banget baju nya tebal ga nrawang suka poll😍😍,bintang 5,1 minggu lalu
"baju nya ada yang bolong dikit sebelah kiri, untung msh bisa dijait sendiri, lain kali lebih teliti lg lah, overall bhn nya bagus adem",bintang 4,1 minggu lalu
bahannya bagus sayangnya kotor lain kali cek lagi ya🥲🥲,bintang 3,1 minggu lalu
"bagus sekaliii, worth it bgt harga segituuu, bahannya ga nerawang,cukup di badankuu",bintang 5,2 minggu lalu
W udah koleksi semua wrnanya hahaha krna emang sbgus itu luvvv dehhh,bintang 5,1 minggu lalu
Bagussss ternyataaa bahan adem melarrrr cucooooo pokoknya berasa jdi abg lgii💘💘💘💘💘💘💘💘💘💘💘💘next beli model lain,bintang 5,3 minggu lalu
"ukuran bajunya pas banget di aku walaupun kadang aku pake ukuran s,bahan bajunya juga bagus banget suka👍🏻👍🏻",bintang 5,3 hari lalu
"bagusss banget, bahan nya ga tebel tp ga tipis enak bgt pokok nya next mau beli warna oat!!😍",bintang 5,2 hari lalu
"SOO PRETTYYYY🤍. bahannya oke, looksnya bagus, harga affordable. cocok bgt di aku",bintang 5,5 hari lalu
"bahannya oke, di badan bagus. tapi utk LD 96 sangat ngepas",bintang 5,1 minggu lalu
"Sehari pesen langsung dateng, gercep niii
Kualitas produk: Bagus banget tapi jahitannya ntap",bintang 5,6 hari lalu
Pengiriman cpet dan bahan'y bagus sesuai,bintang 5,2 minggu lalu
"Bagus, tp jaitan ada yg kurang rapi. Tapi gapapa sesuai lah sama harga",bintang 4,3 minggu lalu
Bagus cuma bingung cara make nya wkwkwkkw,bintang 5,3 minggu lalu
Bagus banget udah beli 2 x disini rasanya mau koleksi semua,bintang 5,3 minggu lalu
Kualitas produk: oke,bintang 5,1 hari lalu
Muat cuy di BB 59/60 TPI tergntng Ld nyaa,bintang 5,3 minggu lalu
"Bagus bangett sesuai pesanan, udah punya 2 model mantull 👍🏻",bintang 5,1 minggu lalu
Udah koleksi semua wrnanya hihii,bintang 5,1 minggu lalu
"bagus, fit nya pas bgt di bb 43",bintang 5,2 minggu lalu
bagussgusgusss,bintang 5,1 minggu lalu
"Bagus, cuma agak pas bngt di akuu",bintang 5,1 minggu lalu
GAPERNAH NYESEL BELI DISINIIII LANGGANANNNNN😫😫😫😫,bintang 5,1 minggu lalu
bagus kok cuman agak press di badan,bintang 3,2 minggu lalu
"baju nyaaaaa bagussss, melarrr juga jadi cocok buat badan aku yang gemukkkk🤏🏻❤️❤️❤️❤️🤭",bintang 5,1 minggu lalu
"Barag bgus 
Dan harga berkualitas 👍",bintang 5,3 minggu lalu
BAGUS BGTTT WOI GEMESSSSSS💖💖💖,bintang 5,1 minggu lalu
Bagus poll pokonya,bintang 5,1 minggu lalu
Tipis bahannya,bintang 4,
bagus sesuai,bintang 5,6 hari lalu
Paket datang kondisi baju ada sobekannya,bintang 2,2 minggu lalu
barang tidak sesuai,bintang 2,2 minggu lalu
"bad bad bad semuaaaa,ga rekomen",bintang 1,2 minggu lalu
BAGUS X😍😍,bintang 5,3 minggu lalu
sesuai,bintang 5,6 hari lalu
Bagus,bintang 5,2 minggu lalu
CAKEP BANGET GA NYESELLL,bintang 5,1 minggu lalu
Bahannya jelek,bintang 1,1 minggu lalu
Bagussss bangeeettt sumpah 😭😭🔥🔥🔥🔥🔥🔥,bintang 5,4 hari lalu
bagossssssassss tenannnnnnn,bintang 5,2 minggu lalu
,bintang 5,1 hari lalu
,bintang 4,3 minggu lalu
Bagus banget bajunya,bintang 5,1 minggu lalu
Bngsu bnget cntk poll,bintang 5,3 hari lalu
Baguss,bintang 5,1 minggu lalu
Baguss,bintang 5,1 minggu lalu
bagus bgt,bintang 5,2 hari lalu
Bagus,bintang 5,2 hari lalu
Bagus,bintang 5,1 minggu lalu
bagus,bintang 5,2 minggu lalu
Thankyou sesuai 🫶,bintang 5,2 minggu lalu
bagus bgttt,bintang 5,2 minggu lalu
bagusssss,bintang 5,1 hari lalu
Bagusssss,bintang 5,3 hari lalu
suka sama bajunya,bintang 5,3 minggu lalu
RILL BGS BGTTTT,bintang 5,2 minggu lalu
bagusss,bintang 3,2 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 4,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
Udh 2x beli dsni bagus bgt cuy,bintang 5,1 minggu lalu
,bintang 4,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 4,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 4,3 minggu lalu
,bintang 3,3 minggu lalu
,bintang 1,3 minggu lalu
